2025-11-26 05:09:34,277 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,283 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,285 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,287 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,441 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,445 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,445 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,445 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,445 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,597 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,597 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,597 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,599 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,599 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,599 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,599 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,599 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,599 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,601 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,601 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,601 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,601 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,601 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,601 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,753 [WARNING] Query failed, no connection available
